Altitude;Category;Percentage
0-100;Terrain;0
100-200;Terrain;0
200-300;Terrain;4
300-400;Terrain;16
400-500;Terrain;20
500-600;Terrain;23
600-700;Terrain;19
700-800;Terrain;8
800-900;Terrain;4
900-1000;Terrain;3
1000-1100;Terrain;2
1100-1200;Terrain;1
1200-1300;Terrain;0
1300-1400;Terrain;0
1400-1500;Terrain;0
0-100;Site;0
100-200;Site;0
200-300;Site;7
300-400;Site;84
400-500;Site;4
500-600;Site;5
600-700;Site;0
700-800;Site;0
800-900;Site;0
900-1000;Site;0
1000-1100;Site;0
1100-1200;Site;0
1200-1300;Site;0
1300-1400;Site;0
1400-1500;Site;0
