Pendiente;Categoria;Porcentaje
0-5;Terreno;28,54
5-10;Terreno;24,08
10-15;Terreno;15,36
15-20;Terreno;10,34
20-25;Terreno;8,27
25-30;Terreno;7
30-35;Terreno;4,24
35-40;Terreno;1,58
40-45;Terreno;0,43
45-50;Terreno;0,11
50-55;Terreno;0,03
55-60;Terreno;0,01
60-65;Terreno;0,01
0-5;Yacimiento;95,24
5-10;Yacimiento;4,76
10-15;Yacimiento;0
15-20;Yacimiento;0
20-25;Yacimiento;0
25-30;Yacimiento;0
30-35;Yacimiento;0
35-40;Yacimiento;0
40-45;Yacimiento;0
45-50;Yacimiento;0
50-55;Yacimiento;0
55-60;Yacimiento;0
60-65;Yacimiento;0
