UTMX;UTMY;CID;Artefacts
621252,21;4711246,4;1;222
621549,21;4711798,39;1;2
621424,21;4711211,4;1;11
621498,21;4711363,4;1;5
621368,21;4711783,39;1;1
621732,2;4712695,38;1;22
621765,2;4713417,37;1;2
621895,2;4713513,37;1;1
621894,2;4713513,37;1;1
623287,19;4712737,38;1;4
623320,18;4712760,38;1;32
624262,18;4717050,33;1;13
620932,21;4708947,43;1;25
618796,23;4699396,54;1;2
618332,24;4703109,5;1;15
618671,24;4702894,5;1;1
623020,19;4706613,45;1;9
623066,19;4705718,46;1;2
623090,18;4705414,47;1;14
623065,18;4704812,47;1;3
623287,19;4713004,38;1;23
624120,18;4716103,34;1;6
624137,18;4716504,34;1;1
609420,35;4720483,29;1;1
624322,17;4713280,37;1;61
644131,94;4704995,46;1;32
624718,17;4713311,37;1;1
619791,23;4709988,41;1;4
622806,19;4707541,44;1;1
623383,18;4714337,36;1;1
619916,23;4713289,38;1;2
623728,18;4713003,38;1;15
609420,34;4720483,31;1;1
617023,26;4706586,46;1;7
617200,25;4706475,46;1;37
616972,26;4706950,45;1;8
616755,26;4706265,46;1;7
617401,25;4706944,45;1;2
617304,25;4706598,46;1;1
615919,27;4710600,41;1;5
617547,25;4708878,43;1;3
617362,25;4710406,41;1;24
617537,25;4710839,41;1;18
617423,25;4710634,41;1;20
618797,24;4713142,38;1;8
619256,23;4712939,38;1;1
618746,24;4710874,4;1;3
618436,24;4708813,43;1;122
618439,24;4708245,44;1;12
618585,24;4707766,44;1;79
618357,24;4707650,44;1;23
624883,16;4707797,44;1;8
624050,17;4707396,44;1;1
624492,17;4706530,45;1;3
626467,14;4703513,49;1;4
626359,15;4703752,49;1;3
627108,14;4706992,45;1;12
626846,14;4707347,44;1;3
629226,11;4707720,44;1;21
626714,14;4708316,43;1;12
626672,14;4708809,43;1;5
624219,17;4705510,47;1;6
624499,17;4710794,4;1;1
625843,15;4710385,41;1;11
624206,17;4712511,38;1;4
626355,15;4709705,42;1;2
623274,19;4713443,37;1;7
626676,14;4710706,4;1;15
627104,14;4710805,4;1;2
623711,18;4706626,45;1;4
625050,16;4707183,45;1;5
624931,16;4707085,45;1;3
623571,18;4711372,4;1;3
625593,16;4712766,38;1;1
624394,17;4710179,41;1;5
