UTMX;UTMY;cat;altitude;wetland_cost;goat_cost;geology_cost;hydrology_cost;lcp_cost;eucl_dist_geo;eucl_dist_hydro;dif_ins;dir_ins;tot_ins;aspect;slope;vis_prom;tpi100;tpi500;tpi1000;wind
621252.21;4711246.4;1;325.00;235.91;4372.80;940.00;3766.20;318.99;325.00;1050.00;0.86;3.44;4.30;-1.00;0.00;19.00;-0.45;0.09;-1.34;0.82
621549.21;4711798.39;2;335.00;481.90;2728.66;80.50;4224.72;371.50;25.00;838.53;0.86;3.70;4.57;158.20;3.08;52.00;-0.59;-5.13;-4.18;0.80
621424.21;4711211.4;3;326.00;252.22;3970.95;422.00;3256.14;139.15;150.00;875.00;0.86;3.44;4.30;270.00;1.15;45.00;-0.22;4.27;3.73;0.83
621498.21;4711363.4;4;326.00;136.00;3580.59;210.00;3444.97;0.00;75.00;800.00;0.86;3.44;4.30;-1.00;0.00;42.00;0.20;1.76;0.47;0.83
621368.21;4711783.39;5;338.00;416.18;3257.35;709.22;4827.40;39.00;225.00;1012.42;0.86;3.70;4.57;158.96;3.98;52.00;-0.59;-2.54;-4.12;0.81
621732.2;4712695.38;6;386.00;202.00;2500.59;440.11;4370.09;96.15;158.11;895.13;0.87;3.45;4.32;225.00;0.41;21.00;-0.27;4.21;21.70;0.95
621765.2;4713417.37;7;397.00;68.00;4066.24;1147.72;3562.79;43.00;406.97;983.93;0.87;3.54;4.41;243.44;1.28;41.00;0.65;5.97;24.13;0.98
621895.2;4713513.37;8;399.00;226.05;4192.44;1018.00;3800.48;102.15;300.00;1068.00;0.87;3.45;4.33;251.56;0.91;38.00;0.18;11.44;21.98;0.94
621894.2;4713513.37;9;399.00;226.05;4192.44;1018.00;3800.48;102.15;300.00;1068.00;0.87;3.45;4.33;251.56;0.91;38.00;0.18;11.44;21.98;0.94
623287.19;4712737.38;10;316.00;180.00;3144.34;760.31;941.10;37.00;230.49;250.00;0.85;3.04;3.89;56.89;7.82;11.00;-1.65;-1.86;-8.72;0.79
623320.18;4712760.38;11;313.00;260.50;3234.51;684.28;902.86;56.81;213.60;225.00;0.85;4.09;4.95;149.04;8.29;8.00;-4.39;-5.17;-12.19;0.77
624262.18;4717050.33;12;360.00;182.00;1770.61;111.50;4148.21;450.82;25.00;1196.35;0.87;3.42;4.29;98.13;2.02;41.00;-0.80;-11.31;-13.69;0.79
620932.21;4708947.43;13;290.00;248.50;5233.07;5331.23;4178.99;913.81;1343.97;795.69;0.86;3.44;4.29;135.00;0.41;31.00;-1.20;-4.02;-5.27;0.80
618796.23;4699396.54;14;466.00;119.84;10539.84;0.00;2694.47;0.00;0.00;866.75;0.88;3.64;4.52;203.20;2.18;42.00;0.02;0.63;0.97;1.12
618332.24;4703109.5;15;329.00;210.33;8213.24;7576.41;2192.40;66.81;2667.63;670.82;0.86;3.26;4.12;23.20;2.18;59.00;0.45;0.94;0.77;1.08
618671.24;4702894.5;16;330.00;0.00;7074.43;7196.62;1942.28;190.50;2553.55;525.00;0.86;3.35;4.21;45.00;1.62;32.00;-0.90;-2.03;-7.20;1.01
623020.19;4706613.45;17;346.00;396.11;7686.94;925.16;1956.67;41.00;302.08;527.38;0.86;3.35;4.22;75.96;2.36;50.00;-0.18;8.03;13.75;1.02
623066.19;4705718.46;18;360.00;286.50;6457.66;2836.69;1361.16;98.00;942.40;378.32;0.87;3.36;4.22;333.43;1.28;46.00;0.90;9.65;14.40;1.09
623090.18;4705414.47;19;367.00;260.22;5737.98;3511.42;1322.61;156.96;1236.93;375.00;0.87;3.27;4.13;0.00;1.72;44.00;0.90;13.39;11.33;1.11
623065.18;4704812.47;20;383.00;654.00;5301.15;1962.34;775.61;195.00;682.37;230.49;0.87;3.26;4.13;309.29;4.06;39.00;1.69;5.24;-7.83;1.18
623287.19;4713004.38;21;341.00;730.47;3688.14;0.00;911.88;82.00;0.00;225.00;0.86;3.93;4.79;140.44;8.48;48.00;4.02;13.29;8.09;0.79
624120.18;4716103.34;22;347.00;370.04;390.05;292.33;3068.92;54.81;90.14;903.47;0.85;4.12;4.97;132.88;10.82;6.00;-7.67;-15.88;-12.25;0.76
624137.18;4716504.34;23;399.00;647.00;344.22;346.67;4472.97;558.30;134.63;1299.28;0.85;3.14;3.99;82.87;17.87;79.00;2.08;16.15;28.35;0.77
609420.35;4720483.29;24;534.00;828.01;8435.39;0.00;4859.85;54.81;0.00;1402.23;0.89;3.56;4.46;233.13;2.86;7.00;-0.96;-2.81;-9.13;1.15
624322.17;4713280.37;25;387.00;1715.50;2213.98;0.00;2882.82;115.81;0.00;696.42;0.87;3.69;4.55;237.53;7.43;55.00;-0.94;-3.34;20.19;0.95
644131.94;4704995.46;26;362.00;1835.82;1960.64;1140.56;1968.65;94.50;425.73;482.83;0.87;3.61;4.47;161.56;2.72;47.00;-0.02;20.76;20.40;0.79
624718.17;4713311.37;27;462.00;2550.44;2070.27;662.00;2783.21;108.15;167.71;650.00;0.88;3.64;4.52;236.31;2.06;131.00;7.49;53.33;95.00;1.04
619791.23;4709988.41;28;313.00;265.03;7024.61;6428.84;2339.51;60.81;2177.30;637.38;0.86;3.44;4.30;-1.00;0.00;54.00;-0.10;5.33;7.13;0.90
622806.19;4707541.44;29;328.00;148.00;4866.52;0.00;1770.11;98.00;0.00;525.00;0.86;3.26;4.12;45.00;3.24;82.00;0.00;5.37;13.73;0.99
623383.18;4714337.36;30;327.00;380.39;5963.87;146.00;447.39;134.96;50.00;111.80;0.86;3.24;4.10;286.39;5.06;17.00;-2.33;-11.76;-28.45;0.86
619916.23;4713289.38;31;339.00;776.89;2705.40;5557.79;1410.00;102.15;1833.71;353.55;0.86;3.53;4.39;123.69;2.06;43.00;0.39;7.61;3.12;0.82
623728.18;4713003.38;32;324.00;150.05;3238.93;200.00;744.66;90.00;75.00;201.56;0.86;3.52;4.38;263.66;5.17;24.00;0.84;1.48;-15.05;0.87
624297.17;4713270.37;33;384.00;1688.00;2236.26;0.00;2796.82;119.62;0.00;705.78;0.87;3.69;4.56;239.93;6.26;51.00;-0.57;-3.91;17.35;0.94
609420.35;4720483.29;34;534.00;828.01;8435.39;0.00;4859.85;54.81;0.00;1402.23;0.89;3.56;4.46;233.13;2.86;7.00;-0.96;-2.81;-9.13;1.15
